Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status,Timestamp,MagnitudeLevel,Distance_km
04/03/1965,11:20:43,15.8,-98.067,Earthquake,10.0,,,5,MW,,,,,,,ISCGEM857413,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-04-03T11:20:43.000+05:30,Moderate,10870.449
04/04/1965,13:30:39,51.865,175.172,Earthquake,30.7,,,5,MW,,,,,,,ISCGEM857447,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-04-04T13:30:39.000+05:30,Moderate,14230.234
04/04/1965,15:36:13,-27.088,-176.046,Earthquake,25.0,,,5,MW,,,,,,,ISCGEM857450,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-04-04T15:36:13.000+05:30,Moderate,16973.523
04/05/1965,03:12:53,37.505,22.067,Earthquake,20.0,,,6,MW,,,,,,,ISCGEM857472,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-04-05T03:12:53.000+05:30,Moderate,4745.4624
04/05/1965,13:52:12,44.812,150.871,Earthquake,39.2,,,5,MW,,,,,,,ISCGEM857484,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-04-05T13:52:12.000+05:30,Moderate,14265.664
04/06/1965,05:31:59,36.083,139.968,Earthquake,50.0,,,5,MW,,,,,,,ISCGEM857506,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-04-06T05:31:59.000+05:30,Moderate,14258.363
04/06/1965,09:42:29,-0.463,120.039,Earthquake,25.0,,,6,MW,,,,,,,ISCGEM857510,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-04-06T09:42:29.000+05:30,Moderate,13347.607
04/08/1965,13:43:54,52.192,173.437,Earthquake,25.0,,,6,MW,,,,,,,ISCGEM857580,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-04-08T13:43:54.000+05:30,Moderate,14179.2705
04/09/1965,10:45:26,-32.707,-178.207,Earthquake,20.0,,,6,MW,,,,,,,ISCGEM857602,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-04-09T10:45:26.000+05:30,Moderate,16373.38
04/09/1965,23:57:06,35.047,24.318,Earthquake,65.0,,,6,MW,,,,,,,ISCGEM857618,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-04-09T23:57:06.000+05:30,Moderate,4642.5264
04/10/1965,14:46:51,-20.455,-173.621,Earthquake,17.5,,,5,MW,,,,,,,ISCGEM857639,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-04-10T14:46:51.000+05:30,Moderate,17637.092
04/10/1965,22:32:48,-17.857,-178.646,Earthquake,543.7,,,6,MW,,,,,,,ISCGEM857647,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-04-10T22:32:48.000+05:30,Moderate,18023.965
